Complete Name,Location Name,Parent Location,Location Type,Is a Scrap Location,Is a Return Location,Barcode
Stock/Small Parts Wall,Small Parts Wall,Stock,Internal,FALSE,FALSE,LOC-A
Stock/Small Parts Wall/A-01,"A-01 (Jarum / Needles, Sepatu / Pres)",Small Parts Wall,Internal,FALSE,FALSE,LOC-A-01
Stock/Small Parts Wall/A-02,"A-02 (Jarum / Needles, Sepatu / Pres)",Small Parts Wall,Internal,FALSE,FALSE,LOC-A-02
Stock/Small Parts Wall/A-03,"A-03 (Jarum / Needles, Sepatu / Pres)",Small Parts Wall,Internal,FALSE,FALSE,LOC-A-03
Stock/Small Parts Wall/A-04,"A-04 (Jarum / Needles, Sepatu / Pres)",Small Parts Wall,Internal,FALSE,FALSE,LOC-A-04
Stock/Small Parts Wall/A-05,"A-05 (Jarum / Needles, Sparepart / P)",Small Parts Wall,Internal,FALSE,FALSE,LOC-A-05
Stock/Small Parts Wall/A-06,"A-06 (Jarum / Needles, Sparepart / P)",Small Parts Wall,Internal,FALSE,FALSE,LOC-A-06
Stock/Small Parts Wall/A-07,A-07 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-07
Stock/Small Parts Wall/A-08,A-08 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-08
Stock/Small Parts Wall/A-09,A-09 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-09
Stock/Small Parts Wall/A-10,A-10 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-10
Stock/Small Parts Wall/A-11,A-11 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-11
Stock/Small Parts Wall/A-12,A-12 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-12
Stock/Small Parts Wall/A-13,A-13 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-13
Stock/Small Parts Wall/A-14,A-14 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-14
Stock/Small Parts Wall/A-15,A-15 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-15
Stock/Small Parts Wall/A-16,A-16 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-16
Stock/Small Parts Wall/A-17,A-17 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-17
Stock/Small Parts Wall/A-18,A-18 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-18
Stock/Small Parts Wall/A-19,A-19 (Jarum / Needles),Small Parts Wall,Internal,FALSE,FALSE,LOC-A-19
