Name,Internal Reference,Barcode,Product Type,Category,Sales Price,Cost,Quantity On Hand,Can be Sold,Can be Purchased,Shopee Product ID,Shopee Variation ID,Shopee Parent SKU
Spul mesin bartek,TKM-00001,2000000000001,Storable Product,Mesin / Machines,2000,0,93,TRUE,TRUE,10698288653,107573433351,Sp.Mesin Bartek
Crank bawah as gantung Typical mesin jahit,TKM-00002,2000000000002,Storable Product,Mesin Jahit / Sewing Machine,29000,0,86,TRUE,TRUE,10721346280,93757685216,Crank bawah as gantung Typical
Sepatu Mesin Jahit High Speed Industrial 36465 P14 1/4 presser foot pf,TKM-00003,2000000000003,Storable Product,Mesin Jahit / Sewing Machine,16000,0,9999,TRUE,TRUE,10799814279,214409347904,"pf.36465P14""1/4"
bobbin case skoci Juki bartek otomatis,TKM-00004,2000000000004,Storable Product,Sparepart / Parts,20000,0,66,TRUE,TRUE,11284269990,115137716895,Sk.JukiBartek
BROTHER 2104D LOCK - Mesin Obras - Mesin Necci Portable Multifungsi,TKM-00005,2000000000005,Storable Product,Mesin Obras / Overlock,4190000,0,5,TRUE,TRUE,11899515224,231793171752,MJ.NeciBROTHER2104D
platuk siruba L818m LG13,TKM-00006,2000000000006,Storable Product,Sparepart / Parts,24999,0,10,TRUE,TRUE,12108614160,37279111014,platuk siruba L818m LG13
Jarum Jahit Orange DOx5 / DO x 5 Mesin Lubang kancing QQ / Reece / MEB,TKM-00007,2000000000007,Storable Product,Jarum / Needles,25950,0,100,TRUE,TRUE,12299003097,194410649907,OrangeDOx5
Cincin Benang Tiang Jarum Needle Bar Mesin Lubang Kancing Juki 781 400-09093,TKM-00008,2000000000008,Storable Product,Jarum / Needles,20000,0,98,TRUE,TRUE,12433814880,113300697963,Cincin Benang Tiang Jarum Juki 781 400-09093
singer 14SH754 / mesin obras dan neci singer 14SH754,TKM-00009,2000000000009,Storable Product,Mesin Obras / Overlock,3747000,0,4,TRUE,TRUE,12699010475,221786839768,MJ.ObrasNecisinger14SH754
MESIN JAHIT OBRAS BENANG 4 NECI BUTTERFLY 864 HEAVY DUTY HD864 PORTABLE,TKM-00010,2000000000010,Storable Product,Mesin Jahit / Sewing Machine,3499000,0,18,TRUE,TRUE,12899761409,167845353830,MJ.OBRASNECIBTF864
Sepatu Stik Sisi Kiri Mesin Jahit TCL 1/16N Indutsri High Speed pf,TKM-00011,2000000000011,Storable Product,Mesin Jahit / Sewing Machine,5900,0,99977,TRUE,TRUE,12999007845,177738143958,pf.StikKiriTCL1/16N
S32979009 tutup samping plastik brother 814 ii,TKM-00012,2000000000012,Storable Product,Lain-lain / Others,200000,0,5,TRUE,TRUE,13195477356,181588233689,
Jarum Jahit Orange SMx1014B Orange Needles MY Flatseam,TKM-00013,2000000000013,Storable Product,Jarum / Needles,43777,0,50,TRUE,TRUE,13299001095,216860450592,OrangeSMx1014B
bc bobbin case Sekoci Skoci Bobbin Case Haya Mesin Lobang Kancing Juki 771 BC-LBH771 bb bobbin case,TKM-00014,2000000000014,Storable Product,Sparepart / Parts,97950,0,4,TRUE,TRUE,13599602551,214414090237,Sk.HayaBC-LBH771
Janome 990D Mesin Obras dan Neci Portable Multifungsi,TKM-00015,2000000000015,Storable Product,Mesin Obras / Overlock,3900000,0,6,TRUE,TRUE,13599623850,166001380713,MJ.Janome990D
Gunting Benang KangYong TC-805 1 Lusin / Pemotong Benang / Thread Cutter,TKM-00016,2000000000016,Storable Product,Gunting / Scissors,18000,0,378,TRUE,TRUE,13699597143,196860206294,G.KangYongTC805
Jarum Jahit Maikap Mickup Mick up Mesin Jahit Dua Rantai TVx64 / TV x 64 Orange Needles - 16/16J,TKM-00017-01,2000000000017,Storable Product,Mesin Jahit / Sewing Machine,36450,0,100,TRUE,TRUE,14199101340,127630519049,OrangeTVx64
Jarum Jahit Maikap Mickup Mick up Mesin Jahit Dua Rantai TVx64 / TV x 64 Orange Needles - 14/14J,TKM-00017-02,2000000000018,Storable Product,Mesin Jahit / Sewing Machine,36450,0,18,TRUE,TRUE,14199101340,128669048051,OrangeTVx64
