Shelf_Code,Barcode,Zone,Zone_Name,Categories,Items,Stock_Units,A_Items,B_Items,C_Items
A-01,SHELF-A-01,A,Small Parts Wall,"Aksesoris / Accessories, Benang / Thread",50,24217,0,2,48
A-02,SHELF-A-02,A,Small Parts Wall,Benang / Thread,50,163701,1,5,44
A-03,SHELF-A-03,A,Small Parts Wall,"Benang / Thread, Jarum / Needles",50,1098733,2,0,48
A-04,SHELF-A-04,A,Small Parts Wall,Jarum / Needles,50,153493,0,15,35
A-05,SHELF-A-05,A,Small Parts Wall,Jarum / Needles,50,87614,0,6,44
A-06,SHELF-A-06,A,Small Parts Wall,Jarum / Needles,50,314025,2,1,47
A-07,SHELF-A-07,A,Small Parts Wall,Jarum / Needles,50,614056,6,0,44
A-08,SHELF-A-08,A,Small Parts Wall,Jarum / Needles,50,2435303,5,2,43
A-09,SHELF-A-09,A,Small Parts Wall,Jarum / Needles,50,2894413,8,9,33
A-10,SHELF-A-10,A,Small Parts Wall,Jarum / Needles,50,136125,0,11,39
A-11,SHELF-A-11,A,Small Parts Wall,Jarum / Needles,50,754444,6,12,32
A-12,SHELF-A-12,A,Small Parts Wall,Jarum / Needles,50,1048140,10,3,37
A-13,SHELF-A-13,A,Small Parts Wall,Jarum / Needles,50,920469,9,0,41
A-14,SHELF-A-14,A,Small Parts Wall,Jarum / Needles,50,759261,6,13,31
A-15,SHELF-A-15,A,Small Parts Wall,Jarum / Needles,50,925342,7,8,35
A-16,SHELF-A-16,A,Small Parts Wall,Jarum / Needles,50,2100007,20,8,22
A-17,SHELF-A-17,A,Small Parts Wall,Jarum / Needles,50,61047,0,4,46
A-18,SHELF-A-18,A,Small Parts Wall,Jarum / Needles,50,409183,3,1,46
A-19,SHELF-A-19,A,Small Parts Wall,Jarum / Needles,50,90123,0,8,42
A-20,SHELF-A-20,A,Small Parts Wall,Jarum / Needles,50,119131,1,0,49
A-21,SHELF-A-21,A,Small Parts Wall,Jarum / Needles,50,47936,0,1,49
A-22,SHELF-A-22,A,Small Parts Wall,Jarum / Needles,50,17733,0,0,50
A-23,SHELF-A-23,A,Small Parts Wall,Jarum / Needles,50,20890,0,0,50
A-24,SHELF-A-24,A,Small Parts Wall,Jarum / Needles,50,299993,1,10,39
A-25,SHELF-A-25,A,Small Parts Wall,Jarum / Needles,50,24112,0,1,49
A-26,SHELF-A-26,A,Small Parts Wall,Jarum / Needles,50,7172,0,0,50
A-27,SHELF-A-27,A,Small Parts Wall,Jarum / Needles,50,7374,0,0,50
A-28,SHELF-A-28,A,Small Parts Wall,Jarum / Needles,50,12997,0,0,50
A-29,SHELF-A-29,A,Small Parts Wall,Jarum / Needles,50,22230,0,1,49
A-30,SHELF-A-30,A,Small Parts Wall,Jarum / Needles,50,23978,0,1,49
A-31,SHELF-A-31,A,Small Parts Wall,Jarum / Needles,50,23297,0,0,50
A-32,SHELF-A-32,A,Small Parts Wall,Jarum / Needles,50,36108,0,2,48
A-33,SHELF-A-33,A,Small Parts Wall,Jarum / Needles,50,5936,0,0,50
A-34,SHELF-A-34,A,Small Parts Wall,Jarum / Needles,50,10745,0,0,50
A-35,SHELF-A-35,A,Small Parts Wall,Jarum / Needles,50,18497,0,1,49
A-36,SHELF-A-36,A,Small Parts Wall,Jarum / Needles,50,40420,0,2,48
A-37,SHELF-A-37,A,Small Parts Wall,Jarum / Needles,50,32682,0,2,48
A-38,SHELF-A-38,A,Small Parts Wall,Jarum / Needles,50,23369,0,1,49
A-39,SHELF-A-39,A,Small Parts Wall,Jarum / Needles,50,11344,0,0,50
A-40,SHELF-A-40,A,Small Parts Wall,Jarum / Needles,50,22315,0,0,50
A-41,SHELF-A-41,A,Small Parts Wall,Jarum / Needles,50,20927,0,0,50
A-42,SHELF-A-42,A,Small Parts Wall,Jarum / Needles,50,12983,0,0,50
A-43,SHELF-A-43,A,Small Parts Wall,Jarum / Needles,50,102134,0,1,49
A-44,SHELF-A-44,A,Small Parts Wall,Jarum / Needles,50,12220,0,0,50
A-45,SHELF-A-45,A,Small Parts Wall,"Jarum / Needles, Sepatu / Presser Foot",50,435564,3,13,34
A-46,SHELF-A-46,A,Small Parts Wall,Sepatu / Presser Foot,50,549722,4,11,35
A-47,SHELF-A-47,A,Small Parts Wall,"Sepatu / Presser Foot, Sparepart / Parts",50,120788,0,6,44
A-48,SHELF-A-48,A,Small Parts Wall,Sparepart / Parts,50,35548,0,2,48
A-49,SHELF-A-49,A,Small Parts Wall,Sparepart / Parts,50,1028908,1,2,47
A-50,SHELF-A-50,A,Small Parts Wall,Sparepart / Parts,50,34597,0,3,47
A-51,SHELF-A-51,A,Small Parts Wall,Sparepart / Parts,5,256,0,0,5
B-01,SHELF-B-01,B,Medium Parts,"Alat / Tools, Gunting / Scissors",50,223820,2,1,47
B-02,SHELF-B-02,B,Medium Parts,Gunting / Scissors,50,647923,5,4,41
B-03,SHELF-B-03,B,Medium Parts,Gunting / Scissors,50,24717,0,1,49
B-04,SHELF-B-04,B,Medium Parts,Gunting / Scissors,50,5073,0,0,50
B-05,SHELF-B-05,B,Medium Parts,Gunting / Scissors,50,23042,0,1,49
B-06,SHELF-B-06,B,Medium Parts,Gunting / Scissors,50,22899,0,1,49
B-07,SHELF-B-07,B,Medium Parts,Gunting / Scissors,50,53019,0,1,49
B-08,SHELF-B-08,B,Medium Parts,"Gunting / Scissors, Lampu / Light, Oil / Lubricant",50,201759,1,1,48
C-01,SHELF-C-01,C,Large / Machines,"Kain / Fabric, Lainnya / Other",50,992195,5,8,37
C-02,SHELF-C-02,C,Large / Machines,Lainnya / Other,50,72312,0,4,46
C-03,SHELF-C-03,C,Large / Machines,Lainnya / Other,50,29882,0,1,49
C-04,SHELF-C-04,C,Large / Machines,Lainnya / Other,50,18737,0,1,49
C-05,SHELF-C-05,C,Large / Machines,Lainnya / Other,50,4231,0,0,50
C-06,SHELF-C-06,C,Large / Machines,Lainnya / Other,50,20040,0,0,50
C-07,SHELF-C-07,C,Large / Machines,Lainnya / Other,50,36039,0,2,48
C-08,SHELF-C-08,C,Large / Machines,"Lainnya / Other, Mesin / Machines",50,4561,0,0,50
C-09,SHELF-C-09,C,Large / Machines,Mesin / Machines,50,5661,0,0,50
C-10,SHELF-C-10,C,Large / Machines,Mesin / Machines,50,17443,0,1,49
C-11,SHELF-C-11,C,Large / Machines,Mesin / Machines,50,229804,2,2,46
C-12,SHELF-C-12,C,Large / Machines,"Mesin / Machines, Mesin Jahit / Sewing Machine",50,214219,1,2,47
C-13,SHELF-C-13,C,Large / Machines,Mesin Jahit / Sewing Machine,50,129741,1,1,48
C-14,SHELF-C-14,C,Large / Machines,Mesin Jahit / Sewing Machine,50,200895,1,5,44
C-15,SHELF-C-15,C,Large / Machines,Mesin Jahit / Sewing Machine,50,519569,3,8,39
C-16,SHELF-C-16,C,Large / Machines,Mesin Jahit / Sewing Machine,50,1174854,2,6,42
C-17,SHELF-C-17,C,Large / Machines,Mesin Jahit / Sewing Machine,50,533559,4,10,36
C-18,SHELF-C-18,C,Large / Machines,Mesin Jahit / Sewing Machine,50,2257834,12,6,32
C-19,SHELF-C-19,C,Large / Machines,Mesin Jahit / Sewing Machine,50,453326,4,4,42
C-20,SHELF-C-20,C,Large / Machines,Mesin Jahit / Sewing Machine,50,141509,1,3,46
C-21,SHELF-C-21,C,Large / Machines,Mesin Jahit / Sewing Machine,50,371944,3,5,42
C-22,SHELF-C-22,C,Large / Machines,Mesin Jahit / Sewing Machine,50,41313,0,2,48
C-23,SHELF-C-23,C,Large / Machines,Mesin Jahit / Sewing Machine,50,21581,0,1,49
C-24,SHELF-C-24,C,Large / Machines,Mesin Jahit / Sewing Machine,50,42462,0,3,47
C-25,SHELF-C-25,C,Large / Machines,Mesin Jahit / Sewing Machine,50,120618,0,3,47
C-26,SHELF-C-26,C,Large / Machines,Mesin Jahit / Sewing Machine,50,27164,0,2,48
C-27,SHELF-C-27,C,Large / Machines,Mesin Jahit / Sewing Machine,50,13485,0,0,50
C-28,SHELF-C-28,C,Large / Machines,Mesin Jahit / Sewing Machine,50,24794,0,1,49
C-29,SHELF-C-29,C,Large / Machines,Mesin Jahit / Sewing Machine,50,49690,0,4,46
C-30,SHELF-C-30,C,Large / Machines,Mesin Jahit / Sewing Machine,50,24176,0,1,49
C-31,SHELF-C-31,C,Large / Machines,Mesin Jahit / Sewing Machine,50,61946,0,5,45
C-32,SHELF-C-32,C,Large / Machines,Mesin Jahit / Sewing Machine,50,45188,0,3,47
C-33,SHELF-C-33,C,Large / Machines,Mesin Jahit / Sewing Machine,50,14116,0,0,50
C-34,SHELF-C-34,C,Large / Machines,Mesin Jahit / Sewing Machine,50,48315,0,3,47
C-35,SHELF-C-35,C,Large / Machines,Mesin Jahit / Sewing Machine,50,29792,0,1,49
C-36,SHELF-C-36,C,Large / Machines,Mesin Jahit / Sewing Machine,50,28722,0,2,48
C-37,SHELF-C-37,C,Large / Machines,Mesin Jahit / Sewing Machine,50,19081,0,1,49
C-38,SHELF-C-38,C,Large / Machines,"Mesin Jahit / Sewing Machine, Mesin Obras / Overlock",50,47540,0,3,47
C-39,SHELF-C-39,C,Large / Machines,Mesin Obras / Overlock,50,2001290,2,0,48
C-40,SHELF-C-40,C,Large / Machines,Mesin Obras / Overlock,50,18881,0,1,49
C-41,SHELF-C-41,C,Large / Machines,Mesin Obras / Overlock,50,18138,0,1,49
C-42,SHELF-C-42,C,Large / Machines,Mesin Obras / Overlock,50,124612,1,1,48
