Zone,Zone_Name,Shelf,Bin,SKU,Product,Variation,Category,ABC,Stock,Barcode
A,Small Parts Wall,A-01,1,TKM-00022-01,Jarum Organ DBx1NS / DB x 1 NS Jarum Jahit Jarum 1,,Jarum / Needles,A,99998,2000000000023
A,Small Parts Wall,A-01,2,TKM-00022-02,Jarum Organ DBx1NS / DB x 1 NS Jarum Jahit Jarum 1,,Jarum / Needles,A,99999,2000000000024
A,Small Parts Wall,A-01,3,TKM-00022-03,Jarum Organ DBx1NS / DB x 1 NS Jarum Jahit Jarum 1,,Jarum / Needles,A,99999,2000000000025
A,Small Parts Wall,A-01,4,TKM-00099,Jarum Organ ORI JAPAN DP X 5  S/F -Jarum jahit jar,,Jarum / Needles,A,99998,2000000000221
A,Small Parts Wall,A-01,5,TKM-00126-01,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99789,2000000000270
A,Small Parts Wall,A-01,6,TKM-00126-02,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99900,2000000000271
A,Small Parts Wall,A-01,7,TKM-00126-03,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99867,2000000000272
A,Small Parts Wall,A-01,8,TKM-00126-04,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99882,2000000000273
A,Small Parts Wall,A-01,9,TKM-00126-05,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99956,2000000000274
A,Small Parts Wall,A-01,10,TKM-00126-06,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99993,2000000000275
A,Small Parts Wall,A-01,11,TKM-00126-07,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99661,2000000000276
A,Small Parts Wall,A-01,12,TKM-00126-08,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99960,2000000000277
A,Small Parts Wall,A-01,13,TKM-00126-09,Jarum Organ needles HAx1 Organ HA x 1 untuk mesin ,,Jarum / Needles,A,99994,2000000000278
A,Small Parts Wall,A-01,14,TKM-00163-01,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99999,2000000000366
A,Small Parts Wall,A-01,15,TKM-00163-02,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99997,2000000000367
A,Small Parts Wall,A-01,16,TKM-00163-03,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99999,2000000000368
A,Small Parts Wall,A-01,17,TKM-00163-05,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99999,2000000000370
A,Small Parts Wall,A-01,18,TKM-00163-06,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99998,2000000000371
A,Small Parts Wall,A-01,19,TKM-00163-07,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99999,2000000000372
A,Small Parts Wall,A-01,20,TKM-00163-08,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99997,2000000000373
A,Small Parts Wall,A-01,21,TKM-00163-10,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99999,2000000000375
A,Small Parts Wall,A-01,22,TKM-00163-12,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99999,2000000000377
A,Small Parts Wall,A-01,23,TKM-00163-13,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99988,2000000000378
A,Small Parts Wall,A-01,24,TKM-00163-14,Jarum mesin kamkut Organ UYx128 / UY x 128 / UYx12,,Jarum / Needles,A,99998,2000000000379
A,Small Parts Wall,A-01,25,TKM-00407-03,Jarum Organ DBx1SF / DB x 1SF (Super finished Taha,,Jarum / Needles,A,99998,2000000001002
A,Small Parts Wall,A-01,26,TKM-00407-04,Jarum Organ DBx1SF / DB x 1SF (Super finished Taha,,Jarum / Needles,A,99999,2000000001003
A,Small Parts Wall,A-01,27,TKM-00407-05,Jarum Organ DBx1SF / DB x 1SF (Super finished Taha,,Jarum / Needles,A,99999,2000000001004
A,Small Parts Wall,A-01,28,TKM-00433-01,Jarum organ DM X 13 JAPAN - 11/11B,,Jarum / Needles,A,99999,2000000001096
A,Small Parts Wall,A-01,29,TKM-00433-02,Jarum organ DM X 13 JAPAN - 16/16B,,Jarum / Needles,A,99999,2000000001097
A,Small Parts Wall,A-01,30,TKM-00433-03,Jarum organ DM X 13 JAPAN - 18/18B,,Jarum / Needles,A,99999,2000000001098
A,Small Parts Wall,A-02,1,TKM-00433-04,Jarum organ DM X 13 JAPAN - 21/21B,,Jarum / Needles,A,99999,2000000001099
A,Small Parts Wall,A-02,2,TKM-00433-05,Jarum organ DM X 13 JAPAN - 9/9B,,Jarum / Needles,A,99999,2000000001100
A,Small Parts Wall,A-02,3,TKM-00469-01,Jarum Organ ORI JAPAN UN X 154 / Organ Needle UN X,,Jarum / Needles,A,99999,2000000001203
A,Small Parts Wall,A-02,4,TKM-00469-02,Jarum Organ ORI JAPAN UN X 154 / Organ Needle UN X,,Jarum / Needles,A,99999,2000000001204
A,Small Parts Wall,A-02,5,TKM-01857,KD09 Kipas / Fan Original Siruba 700F,,Jarum / Needles,A,999999,2000000003807
A,Small Parts Wall,A-02,6,TKM-00115-01,Jarum Organ JAPAN DBx1KN / DB x 1KN Jarum jahit ja,,Jarum / Needles,B,9998,2000000000251
A,Small Parts Wall,A-02,7,TKM-00115-02,Jarum Organ JAPAN DBx1KN / DB x 1KN Jarum jahit ja,,Jarum / Needles,B,9999,2000000000252
A,Small Parts Wall,A-02,8,TKM-00115-03,Jarum Organ JAPAN DBx1KN / DB x 1KN Jarum jahit ja,,Jarum / Needles,B,9998,2000000000253
A,Small Parts Wall,A-02,9,TKM-00115-04,Jarum Organ JAPAN DBx1KN / DB x 1KN Jarum jahit ja,,Jarum / Needles,B,9999,2000000000254
A,Small Parts Wall,A-02,10,TKM-00115-05,Jarum Organ JAPAN DBx1KN / DB x 1KN Jarum jahit ja,,Jarum / Needles,B,9999,2000000000255
A,Small Parts Wall,A-02,11,TKM-00115-06,Jarum Organ JAPAN DBx1KN / DB x 1KN Jarum jahit ja,,Jarum / Needles,B,9999,2000000000256
A,Small Parts Wall,A-02,12,TKM-00146-03,Jarum Organ Mesin Lubang Kancing DPx5+ / DP x 5+ (,,Jarum / Needles,B,67591,2000000000327
A,Small Parts Wall,A-02,13,TKM-00146-06,Jarum Organ Mesin Lubang Kancing DPx5+ / DP x 5+ (,,Jarum / Needles,B,14138,2000000000330
A,Small Parts Wall,A-02,14,TKM-00146-11,Jarum Organ Mesin Lubang Kancing DPx5+ / DP x 5+ (,,Jarum / Needles,B,16193,2000000000335
A,Small Parts Wall,A-02,15,TKM-00146-15,Jarum Organ Mesin Lubang Kancing DPx5+ / DP x 5+ (,,Jarum / Needles,B,13653,2000000000339
A,Small Parts Wall,A-02,16,TKM-00284-02,Jarum Orange DBX1 / DB x 1 - 14/14J,,Jarum / Needles,B,10250,2000000000670
A,Small Parts Wall,A-02,17,TKM-00284-03,Jarum Orange DBX1 / DB x 1 - 11/11J,,Jarum / Needles,B,14208,2000000000671
A,Small Parts Wall,A-02,18,TKM-00299,ORIGINAL Meteran Butterfly Bee 1.3cm,,Jarum / Needles,B,96967,2000000000728
A,Small Parts Wall,A-02,19,TKM-00483-01,sp Spul Alumunium Warna Biru Gold Merah Jarum 1 Hi,,Jarum / Needles,B,9960,2000000001237
A,Small Parts Wall,A-02,20,TKM-00483-02,sp Spul Alumunium Warna Biru Gold Merah Jarum 1 Hi,,Jarum / Needles,B,9733,2000000001238
A,Small Parts Wall,A-02,21,TKM-00483-03,sp Spul Alumunium Warna Biru Gold Merah Jarum 1 Hi,,Jarum / Needles,B,9818,2000000001239
A,Small Parts Wall,A-02,22,TKM-00483-04,sp Spul Alumunium Warna Biru Gold Merah Jarum 1 Hi,,Jarum / Needles,B,9844,2000000001240
A,Small Parts Wall,A-02,23,TKM-00483-05,sp Spul Alumunium Warna Biru Gold Merah Jarum 1 Hi,,Jarum / Needles,B,9928,2000000001241
A,Small Parts Wall,A-02,24,TKM-00494,Case Jarum Orange Needles,,Jarum / Needles,B,10000,2000000001268
A,Small Parts Wall,A-02,25,TKM-00543-01,Jarum jahit jarum 1 Organ DBx1/DB x 1 Jarum untuk ,,Jarum / Needles,B,9969,2000000001389
A,Small Parts Wall,A-02,26,TKM-00543-02,Jarum jahit jarum 1 Organ DBx1/DB x 1 Jarum untuk ,,Jarum / Needles,B,9988,2000000001390
A,Small Parts Wall,A-02,27,TKM-00543-03,Jarum jahit jarum 1 Organ DBx1/DB x 1 Jarum untuk ,,Jarum / Needles,B,9999,2000000001391
